group,Yes,No
Communist,68.57,31.43
Conservative,32.99,67.01
Independent,51.26,48.74
Liberal,61.61,38.39
Libertarian,17.24,82.76
Socialist,61.25,38.75
Other,50,50
Unsure,67.51,32.49
